nm, %T
543.500000, 12.278582
543.250000, 12.273321
543.000000, 12.267881
542.750000, 12.261502
542.500000, 12.254199
542.250000, 12.249393
542.000000, 12.244350
541.750000, 12.235087
541.500000, 12.227553
541.250000, 12.218741
541.000000, 12.210408
540.750000, 12.203922
540.500000, 12.193430
540.250000, 12.186280
540.000000, 12.179435
539.750000, 12.169899
539.500000, 12.160421
539.250000, 12.151432
539.000000, 12.139962
538.750000, 12.132066
538.500000, 12.122698
538.250000, 12.110337
538.000000, 12.099895
537.750000, 12.088561
537.500000, 12.076073
537.250000, 12.065508
537.000000, 12.051099
536.750000, 12.041357
536.500000, 12.031686
536.250000, 12.020944
536.000000, 12.007086
535.750000, 11.996707
535.500000, 11.982695
535.250000, 11.969971
535.000000, 11.957078
534.750000, 11.943687
534.500000, 11.931297
534.250000, 11.918172
534.000000, 11.903443
533.750000, 11.890917
533.500000, 11.877698
533.250000, 11.864745
533.000000, 11.852368
532.750000, 11.840188
532.500000, 11.825508
532.250000, 11.811833
532.000000, 11.799147
531.750000, 11.782893
531.500000, 11.770338
531.250000, 11.758123
531.000000, 11.743851
530.750000, 11.730217
530.500000, 11.716374
530.250000, 11.705084
530.000000, 11.693000
529.750000, 11.679661
529.500000, 11.663482
529.250000, 11.650406
529.000000, 11.638727
528.750000, 11.626184
528.500000, 11.613650
528.250000, 11.601182
528.000000, 11.588458
527.750000, 11.575811
527.500000, 11.564003
527.250000, 11.551587
527.000000, 11.539512
526.750000, 11.528140
526.500000, 11.515856
526.250000, 11.504388
526.000000, 11.494309
525.750000, 11.479791
525.500000, 11.468684
525.250000, 11.457984
525.000000, 11.447953
524.750000, 11.437064
524.500000, 11.425565
524.250000, 11.413952
524.000000, 11.404057
523.750000, 11.394766
523.500000, 11.385373
523.250000, 11.373610
523.000000, 11.365765
522.750000, 11.356419
522.500000, 11.346214
522.250000, 11.338455
522.000000, 11.328053
521.750000, 11.320010
521.500000, 11.312265
521.250000, 11.301802
521.000000, 11.293262
520.750000, 11.286012
520.500000, 11.278917
520.250000, 11.268345
520.000000, 11.262722
519.750000, 11.254359
519.500000, 11.247822
519.250000, 11.237844
519.000000, 11.233496
518.750000, 11.225064
518.500000, 11.220592
518.250000, 11.213113
518.000000, 11.208310
517.750000, 11.201843
517.500000, 11.195383
517.250000, 11.186355
517.000000, 11.180413
516.750000, 11.174215
516.500000, 11.167993
516.250000, 11.162882
516.000000, 11.160033
515.750000, 11.152648
515.500000, 11.147190
515.250000, 11.141353
515.000000, 11.137438
514.750000, 11.132522
514.500000, 11.127163
514.250000, 11.123231
514.000000, 11.121246
513.750000, 11.116166
513.500000, 11.111370
513.250000, 11.105905
513.000000, 11.103654
512.750000, 11.100664
512.500000, 11.097349
512.250000, 11.091549
512.000000, 11.092147
511.750000, 11.089159
511.500000, 11.088164
511.250000, 11.083113
511.000000, 11.081907
510.750000, 11.076896
510.500000, 11.075788
510.250000, 11.074009
510.000000, 11.074769
509.750000, 11.072137
509.500000, 11.071665
509.250000, 11.071760
509.000000, 11.072413
508.750000, 11.073050
508.500000, 11.071971
508.250000, 11.072541
508.000000, 11.073683
507.750000, 11.073308
507.500000, 11.073949
507.250000, 11.075243
507.000000, 11.076308
506.750000, 11.074533
506.500000, 11.079592
506.250000, 11.078217
506.000000, 11.080182
505.750000, 11.078747
505.500000, 11.083655
505.250000, 11.084849
505.000000, 11.089126
504.750000, 11.094109
504.500000, 11.095441
504.250000, 11.097280
504.000000, 11.103006
503.750000, 11.106424
503.500000, 11.109708
503.250000, 11.111133
503.000000, 11.115341
502.750000, 11.118443
502.500000, 11.125354
502.250000, 11.130299
502.000000, 11.130330
501.750000, 11.137822
501.500000, 11.141527
501.250000, 11.149650
501.000000, 11.151693
500.750000, 11.159577
500.500000, 11.161406
500.250000, 11.169537
500.000000, 11.173189
499.750000, 11.183785
499.500000, 11.187752
499.250000, 11.193370
499.000000, 11.198997
498.750000, 11.203935
498.500000, 11.214775
498.250000, 11.217734
498.000000, 11.225629
497.750000, 11.229466
497.500000, 11.238858
497.250000, 11.245502
497.000000, 11.249755
496.750000, 11.259376
496.500000, 11.267315
496.250000, 11.272161
496.000000, 11.280568
495.750000, 11.293119
495.500000, 11.297137
495.250000, 11.306628
495.000000, 11.311824
494.750000, 11.323913
494.500000, 11.328822
494.250000, 11.337234
494.000000, 11.347516
493.750000, 11.356111
493.500000, 11.363548
493.250000, 11.372748
493.000000, 11.384211
492.750000, 11.390285
492.500000, 11.396947
492.250000, 11.409325
492.000000, 11.416796
491.750000, 11.430591
491.500000, 11.434601
491.250000, 11.445242
491.000000, 11.456534
490.750000, 11.470600
490.500000, 11.479198
490.250000, 11.483869
490.000000, 11.498711
489.750000, 11.510267
489.500000, 11.521473
489.250000, 11.532669
489.000000, 11.539423
488.750000, 11.555005
488.500000, 11.566416
488.250000, 11.578007
488.000000, 11.587448
487.750000, 11.599469
487.500000, 11.612194
487.250000, 11.624767
487.000000, 11.641524
486.750000, 11.655483
486.500000, 11.666283
486.250000, 11.683606
486.000000, 11.696455
485.750000, 11.709518
485.500000, 11.722638
485.250000, 11.734949
485.000000, 11.747474
484.750000, 11.762544
484.500000, 11.778365
484.250000, 11.795620
484.000000, 11.810095
483.750000, 11.824270
483.500000, 11.833313
483.250000, 11.852561
483.000000, 11.864513
482.750000, 11.881600
482.500000, 11.897480
482.250000, 11.916839
482.000000, 11.932504
481.750000, 11.949835
481.500000, 11.961521
481.250000, 11.977704
481.000000, 11.991307
480.750000, 12.005699
480.500000, 12.021341
480.250000, 12.039881
480.000000, 12.052868
479.750000, 12.067799
479.500000, 12.083491
479.250000, 12.100610
479.000000, 12.115006
478.750000, 12.130665
478.500000, 12.147549
478.250000, 12.160941
478.000000, 12.180424
477.750000, 12.191114
477.500000, 12.208202
477.250000, 12.221347
477.000000, 12.236681
476.750000, 12.252609
476.500000, 12.267056
476.250000, 12.283201
476.000000, 12.298256
475.750000, 12.313436
475.500000, 12.330090
475.250000, 12.345534
475.000000, 12.358714
474.750000, 12.374193
474.500000, 12.392442
474.250000, 12.404176
474.000000, 12.420446
473.750000, 12.431059
473.500000, 12.446658
473.250000, 12.462016
473.000000, 12.477082
472.750000, 12.488334
472.500000, 12.506769
472.250000, 12.521464
